# 7.010E-01  1.000E-02  X, Z
#    17                 No. of Elements
#     1   9.052E-01     Atomic No., Normalised Abundance
#     2   9.399E-02
#     6   1.882E-04
#     7   4.949E-05
#     8   3.932E-04
#    10   6.234E-05
#    11   1.132E-06
#    12   2.016E-05
#    13   1.568E-06
#    14   1.882E-05
#    16   8.605E-06
#    18   1.759E-06
#    20   1.216E-06
#    24   2.478E-07
#    25   1.300E-07
#    26   1.716E-05
#    28   9.408E-07
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   6.812E+00   8.743E-01  -1.561E+00   3.233E-01  -2.625E+00   3.865E-01
   6.810E+00   8.663E-01  -1.563E+00   3.255E-01  -2.631E+00   3.858E-01
   6.808E+00   8.583E-01  -1.565E+00   3.278E-01  -2.638E+00   3.851E-01
   6.806E+00   8.503E-01  -1.567E+00   3.300E-01  -2.645E+00   3.844E-01
   6.804E+00   8.423E-01  -1.569E+00   3.322E-01  -2.652E+00   3.838E-01
   6.802E+00   8.343E-01  -1.571E+00   3.345E-01  -2.658E+00   3.831E-01
   6.800E+00   8.263E-01  -1.573E+00   3.368E-01  -2.665E+00   3.824E-01
   6.798E+00   8.183E-01  -1.575E+00   3.390E-01  -2.672E+00   3.818E-01
   6.796E+00   8.103E-01  -1.577E+00   3.413E-01  -2.679E+00   3.811E-01
   6.794E+00   8.022E-01  -1.579E+00   3.436E-01  -2.685E+00   3.805E-01
   6.792E+00   7.942E-01  -1.581E+00   3.459E-01  -2.692E+00   3.799E-01
   6.790E+00   7.862E-01  -1.583E+00   3.482E-01  -2.698E+00   3.793E-01
   6.788E+00   7.782E-01  -1.585E+00   3.505E-01  -2.705E+00   3.787E-01
   6.786E+00   7.702E-01  -1.587E+00   3.529E-01  -2.711E+00   3.781E-01
   6.784E+00   7.621E-01  -1.589E+00   3.552E-01  -2.717E+00   3.775E-01
   6.782E+00   7.541E-01  -1.592E+00   3.575E-01  -2.724E+00   3.770E-01
   6.780E+00   7.461E-01  -1.594E+00   3.599E-01  -2.730E+00   3.764E-01
   6.778E+00   7.380E-01  -1.596E+00   3.622E-01  -2.736E+00   3.759E-01
   6.776E+00   7.300E-01  -1.598E+00   3.646E-01  -2.742E+00   3.754E-01
   6.774E+00   7.219E-01  -1.600E+00   3.670E-01  -2.748E+00   3.749E-01
   6.772E+00   7.139E-01  -1.602E+00   3.694E-01  -2.754E+00   3.744E-01
   6.770E+00   7.058E-01  -1.604E+00   3.718E-01  -2.760E+00   3.740E-01
   6.768E+00   6.978E-01  -1.607E+00   3.742E-01  -2.765E+00   3.735E-01
   6.766E+00   6.897E-01  -1.609E+00   3.766E-01  -2.771E+00   3.731E-01
   6.764E+00   6.817E-01  -1.611E+00   3.790E-01  -2.777E+00   3.727E-01
   6.762E+00   6.736E-01  -1.613E+00   3.814E-01  -2.783E+00   3.723E-01
   6.760E+00   6.656E-01  -1.615E+00   3.838E-01  -2.788E+00   3.719E-01
   6.758E+00   6.575E-01  -1.618E+00   3.862E-01  -2.794E+00   3.716E-01
   6.756E+00   6.494E-01  -1.620E+00   3.887E-01  -2.799E+00   3.712E-01
   6.755E+00   6.414E-01  -1.622E+00   3.911E-01  -2.805E+00   3.709E-01
   6.753E+00   6.333E-01  -1.624E+00   3.936E-01  -2.810E+00   3.706E-01
   6.751E+00   6.252E-01  -1.627E+00   3.961E-01  -2.815E+00   3.703E-01
   6.749E+00   6.171E-01  -1.629E+00   3.985E-01  -2.821E+00   3.700E-01
   6.747E+00   6.091E-01  -1.631E+00   4.010E-01  -2.826E+00   3.698E-01
   6.745E+00   6.010E-01  -1.633E+00   4.035E-01  -2.831E+00   3.695E-01
   6.743E+00   5.929E-01  -1.636E+00   4.060E-01  -2.836E+00   3.693E-01
   6.741E+00   5.848E-01  -1.638E+00   4.085E-01  -2.841E+00   3.691E-01
   6.739E+00   5.767E-01  -1.640E+00   4.109E-01  -2.846E+00   3.689E-01
   6.737E+00   5.687E-01  -1.643E+00   4.135E-01  -2.851E+00   3.687E-01
   6.735E+00   5.606E-01  -1.645E+00   4.160E-01  -2.857E+00   3.685E-01
   6.733E+00   5.525E-01  -1.647E+00   4.185E-01  -2.862E+00   3.684E-01
   6.731E+00   5.444E-01  -1.650E+00   4.210E-01  -2.867E+00   3.682E-01
   6.729E+00   5.363E-01  -1.652E+00   4.235E-01  -2.871E+00   3.681E-01
   6.728E+00   5.282E-01  -1.654E+00   4.261E-01  -2.876E+00   3.680E-01
   6.726E+00   5.201E-01  -1.657E+00   4.286E-01  -2.881E+00   3.679E-01
   6.724E+00   5.120E-01  -1.659E+00   4.312E-01  -2.886E+00   3.678E-01
   6.722E+00   5.039E-01  -1.661E+00   4.337E-01  -2.891E+00   3.678E-01
   6.720E+00   4.958E-01  -1.664E+00   4.363E-01  -2.896E+00   3.677E-01
   6.718E+00   4.877E-01  -1.666E+00   4.388E-01  -2.901E+00   3.677E-01
   6.716E+00   4.796E-01  -1.668E+00   4.414E-01  -2.905E+00   3.676E-01
   6.714E+00   4.715E-01  -1.671E+00   4.440E-01  -2.910E+00   3.676E-01
